PSIC-1
Acupuncture,2021-04-12 10:00,2021-04-12 12:00,Medical consulting suite A
Acupuncture,2021-04-12 02:00,2021-04-12 04:00,Medical consulting suite A
Neural mobilisation,2021-04-13 10:00,2021-04-13 12:00,Medical consulting suite A
Neural mobilisation,2021-04-13 02:00,2021-04-13 04:00,Medical consulting suite A
Massage,2021-04-19 10:00,2021-04-19 12:00,Medical consulting suite A
Massage,2021-04-19 02:00,2021-04-19 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-20 10:00,2021-04-20 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-20 02:00,2021-04-20 04:00,Medical consulting suite A
Acupuncture,2021-04-26 10:00,2021-04-26 12:00,Medical consulting suite A
Acupuncture,2021-04-26 02:00,2021-04-26 04:00,Medical consulting suite A
Neural mobilisation,2021-04-27 10:00,2021-04-27 12:00,Medical consulting suite A
Neural mobilisation,2021-04-27 02:00,2021-04-27 04:00,Medical consulting suite A
Massage,2021-05-03 10:00,2021-05-03 12:00,Medical consulting suite A
Massage,2021-05-03 02:00,2021-05-03 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-04 10:00,2021-05-04 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-04 02:00,2021-05-04 04:00,Medical consulting suite A
PSIC-2
Pool rehabilitation,2021-04-14 10:00,2021-04-14 12:00,Swimming pool
Pool rehabilitation,2021-04-14 02:00,2021-04-14 04:00,Swimming pool
Pool rehabilitation,2021-04-15 10:00,2021-04-15 12:00,Swimming pool
Pool rehabilitation,2021-04-15 02:00,2021-04-15 04:00,Swimming pool
Pool rehabilitation,2021-04-21 10:00,2021-04-21 12:00,Swimming pool
Pool rehabilitation,2021-04-21 02:00,2021-04-21 04:00,Swimming pool
Pool rehabilitation,2021-04-22 10:00,2021-04-22 12:00,Swimming pool
Pool rehabilitation,2021-04-22 02:00,2021-04-22 04:00,Swimming pool
Pool rehabilitation,2021-04-28 10:00,2021-04-28 12:00,Swimming pool
Pool rehabilitation,2021-04-28 02:00,2021-04-28 04:00,Swimming pool
Pool rehabilitation,2021-04-29 10:00,2021-04-29 12:00,Swimming pool
Pool rehabilitation,2021-04-29 02:00,2021-04-29 04:00,Swimming pool
Pool rehabilitation,2021-05-05 10:00,2021-04-05 12:00,Swimming pool
Pool rehabilitation,2021-05-05 02:00,2021-04-05 04:00,Swimming pool
Pool rehabilitation,2021-05-06 10:00,2021-04-06 12:00,Swimming pool
Pool rehabilitation,2021-05-06 02:00,2021-04-06 04:00,Swimming pool
PSIC-3
Neural mobilisation,2021-04-12 10:00,2021-04-12 12:00,Medical consulting suite B
Neural mobilisation,2021-04-12 02:00,2021-04-12 04:00,Medical consulting suite B
Acupuncture,2021-04-13 10:00,2021-04-13 12:00,Medical consulting suite B
Acupuncture,2021-04-13 02:00,2021-04-13 04:00,Medical consulting suite B
Massage,2021-04-19 10:00,2021-04-13 12:00,Medical consulting suite B
Massage,2021-04-19 02:00,2021-04-13 04:00,Medical consulting suite B
Mobilisation of the spine and joints,2021-04-20 10:00,2021-04-20 12:00,Medical consulting suite B
Mobilisation of the spine and joints,2021-04-20 02:00,2021-04-20 04:00,Medical consulting suite B
Neural mobilisation,2021-04-26 10:00,2021-04-26 12:00,Medical consulting suite B
Neural mobilisation,2021-04-26 02:00,2021-04-26 04:00,Medical consulting suite B
Acupuncture,2021-04-27 10:00,2021-04-27 12:00,Medical consulting suite B
Acupuncture,2021-04-27 02:00,2021-04-27 04:00,Medical consulting suite B
Mobilisation of the spine and joints,2021-05-03 10:00,2021-05-03 12:00,Medical consulting suite B
Mobilisation of the spine and joints,2021-05-03 02:00,2021-05-03 04:00,Medical consulting suite B
Massage,2021-05-04 10:00,2021-05-04 12:00,Medical consulting suite B
Massage,2021-05-04 02:00,2021-05-04 04:00,Medical consulting suite B
PSIC-4
Neural mobilisation,2021-04-14 10:00,2021-04-14 12:00,Medical consulting suite A
Neural mobilisation,2021-04-14 02:00,2021-04-14 04:00,Medical consulting suite A
Neural mobilisation,2021-04-15 10:00,2021-04-15 12:00,Medical consulting suite A
Neural mobilisation,2021-04-15 02:00,2021-04-15 04:00,Medical consulting suite A
Neural mobilisation,2021-04-21 10:00,2021-04-21 12:00,Medical consulting suite A
Neural mobilisation,2021-04-21 02:00,2021-04-21 04:00,Medical consulting suite A
Neural mobilisation,2021-04-22 10:00,2021-04-22 12:00,Medical consulting suite A
Neural mobilisation,2021-04-22 02:00,2021-04-22 04:00,Medical consulting suite A
Neural mobilisation,2021-04-28 10:00,2021-04-28 12:00,Medical consulting suite A
Neural mobilisation,2021-04-28 02:00,2021-04-28 04:00,Medical consulting suite A
Neural mobilisation,2021-04-29 10:00,2021-04-29 12:00,Medical consulting suite A
Neural mobilisation,2021-04-29 02:00,2021-04-29 04:00,Medical consulting suite A
Neural mobilisation,2021-05-05 10:00,2021-05-05 12:00,Medical consulting suite A
Neural mobilisation,2021-05-05 02:00,2021-05-05 04:00,Medical consulting suite A
Neural mobilisation,2021-05-06 10:00,2021-05-06 12:00,Medical consulting suite A
Neural mobilisation,2021-05-06 02:00,2021-05-06 04:00,Medical consulting suite A
PSIC-5
Mobilisation of the spine and joints,2021-04-16 10:00,2021-04-16 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-16 02:00,2021-04-16 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-17 10:00,2021-04-17 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-17 02:00,2021-04-17 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-23 10:00,2021-04-23 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-23 02:00,2021-04-23 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-24 10:00,2021-04-24 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-24 02:00,2021-04-24 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-30 10:00,2021-04-30 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-04-30 02:00,2021-04-30 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-01 10:00,2021-05-01 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-01 02:00,2021-05-01 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-07 10:00,2021-05-07 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-07 02:00,2021-05-07 04:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-08 10:00,2021-05-08 12:00,Medical consulting suite A
Mobilisation of the spine and joints,2021-05-08 02:00,2021-05-08 04:00,Medical consulting suite A
